rep,estimand,backend,est,se,mu_rmse,alpha_rmse,alpha_mae,fit_seconds,truth
6,ATT,sklearn_tree,3.3312805283536537,0.18606007426721202,1.6999649491276163,0.7678334049725992,0.3498092614148362,12.189390897750854,3.204527475072491
6,ATT,sklearn_ridge,3.2142090055667736,0.1879762827841325,1.6999649491276163,0.8031941897834616,0.44870651346112833,1.3926751613616943,3.204527475072491
7,ATE,xgboost,3.5718537377026154,0.17552305762784567,1.6672533196426929,0.8632869126142855,0.5416881818710473,8.326448202133179,2.999573122975341
7,ATE,sklearn_tree,3.5743926900216008,0.17264449592821504,1.6672533196426929,0.8709528441532265,0.5428193172390485,12.713223934173584,2.999573122975341
7,ATE,sklearn_ridge,3.5503574773776276,0.18585173830226145,1.6672533196426929,0.8426747809131022,0.5762231864284547,1.6670458316802979,2.999573122975341
7,ATT,xgboost,3.5764156743349043,0.16364305426672882,1.6672533196426929,0.6672372281144265,0.3239100926798969,5.177064895629883,3.204527475072491
7,ATT,sklearn_tree,3.573000956194326,0.16284475032712123,1.6672533196426929,0.6704414880211294,0.3252257489644233,8.273704051971436,3.204527475072491
7,ATT,sklearn_ridge,3.520515808435104,0.1694764125085269,1.6672533196426929,0.677781374480987,0.3928233659215175,1.5324950218200684,3.204527475072491
8,ATE,xgboost,3.57797567829746,0.16774869302240042,1.582422589588522,1.0847914991005159,0.6234120038744123,7.454618215560913,2.999573122975341
8,ATE,sklearn_tree,3.575460470803956,0.17417384560213986,1.582422589588522,1.0203144688769823,0.5872105557205082,11.779073715209961,2.999573122975341
8,ATE,sklearn_ridge,3.504561453276715,0.1707890955320445,1.582422589588522,1.0211903486384812,0.6152019919079035,1.2570021152496338,2.999573122975341
8,ATT,xgboost,3.6893097481746824,0.16910249747852762,1.582422589588522,0.825126955952157,0.3755294263102711,5.003418684005737,3.204527475072491
8,ATT,sklearn_tree,3.618893396671216,0.15777801588809046,1.582422589588522,0.8499878119552988,0.3933501168454601,7.573067903518677,3.204527475072491
8,ATT,sklearn_ridge,3.5787336115307187,0.16696166948299723,1.582422589588522,0.8299248752889833,0.4133307231768964,0.8658149242401123,3.204527475072491
9,ATE,xgboost,3.5677111094198937,0.19005512858123874,1.656080258464603,0.8548734983561985,0.5612692270264054,7.639787912368774,2.999573122975341
9,ATE,sklearn_tree,3.6140070252506558,0.19959071934826023,1.656080258464603,0.9003216729461314,0.6042512847628028,12.65024995803833,2.999573122975341
9,ATE,sklearn_ridge,3.4810180049361255,0.1755734130172615,1.656080258464603,0.8418107091840864,0.5707418913107947,1.3166253566741943,2.999573122975341
9,ATT,xgboost,3.6006791240279714,0.2004784707323429,1.656080258464603,0.5669601268641467,0.30569692700718765,8.86626410484314,3.204527475072491
9,ATT,sklearn_tree,3.6162010908218947,0.1792641629443888,1.656080258464603,0.5559210245985664,0.28823893257580196,10.390818119049072,3.204527475072491
9,ATT,sklearn_ridge,3.429457721507043,0.17696916495885995,1.656080258464603,0.5794879319411712,0.37970294188765286,1.1850597858428955,3.204527475072491
